Fiscal Year,Provider Type,Site Name,Sponsor/Vendor,Geriatric Mental Health (GMH) Service Site,Site Type,DFTA ID,Site Address,Address Line 2,Borough,Zip Code,Community District,City Council District,X Coordinate,Y Coordinate,Latitude,Longitude,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
2023,Older Adult Center,Wyckoff Gardens NSC,Spanish Speaking Elderly Council RAICES Inc,,Main Site,C7202,280 Wyckoff Street,,Brooklyn,11217,306,33,988704,188245,40.683365,-73.983941,3336056,3003940001,127,BK0601
2023,Older Adult Center,Park Slope Ctr for Successful Aging,"HEIGHTS AND HILLS, INC.",,Main Site,C4001,463A 7th Street,,Brooklyn,11218,306,39,989465,182800,40.668419,-73.981201,3021748,3009950051,153,BK0602
2023,Older Adult Center,Prospect Hill NSC,St John-St Matthew Emanuel Lutheran Church,,Main Site,C7401,283 Prospect Avenue,,Brooklyn,11215,307,39,987256,180943,40.663323,-73.989165,3337801,3010530073,14102,BK0701
2023,Older Adult Center,Sunset Park OAC,Sunset Park Health Council Inc,Yes,Main Site,C8002,4520 4th Avenue,,Brooklyn,11220,307,38,981518,175765,40.649111,-74.009845,3324372,3007460039,80,BK0702
2023,Older Adult Center,United Neighborhood Senior Citizens Ctr,United Senior Citizens Of Sunset Park Inc,Yes,Main Site,C8601,475 53rd Street,,Brooklyn,11220,307,38,980707,173852,40.64386,-74.012767,3013917,3008070046,76,BK0702
2023,Older Adult Center,BCA 6th Avenue Older Adult Center,Brooklyn Chinese-American Association,,Main Site,C1203,545 60th Street,,Brooklyn,11200,307,38,980049,172034,40.638869,-74.015137,3337343,3008640001,102,BK0703
2023,Older Adult Center,Albany OAC,"Fort Greene Council, Inc.",,Main Site,C3506,196 Albany Avenue,,Brooklyn,11213,308,36,1001178,184795,40.67388,-73.938974,3031082,3012300044,343,BK0802
2023,Older Adult Center,CCNS St Louis OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1715,230 Kingston Avenue,,Brooklyn,11213,308,35,1000344,184044,40.671821,-73.941982,3032045,3012500025,339,BK0802
2023,Older Adult Center,Grant Sq OAC,"Fort Greene Council, Inc.",,Main Site,C3508,19 Rogers Avenue,,Brooklyn,11216,308,36,997379,185896,40.676909,-73.952667,3030302,3012120006,315,BK0802
2023,Older Adult Center,Shalom,Crown Heights Preservation Corp,,Main Site,C9801,483 Albany Avenue,,Brooklyn,11203,309,41,1000903,180972,40.663388,-73.939975,3038418,3014267501,331,BK0901
2023,Older Adult Center,Christopher Blenman OAC,"Fort Greene Council, Inc.",Yes,Main Site,C3505,720 East New York Avenue,,Brooklyn,11203,309,41,1001197,180572,40.662289,-73.938916,3106612,3047950016,87401,BK0902
2023,Older Adult Center,St Gabriels Episcopal Church NSC,Saint Gabriels Episcopal Church,,Main Site,C7301,331 Hawthorne Street,,Brooklyn,11225,309,40,998340,178978,40.657919,-73.949217,3000000,3048140071,804,BK0902
2023,Case Management Agency,CCNS BENSON RIDGE,CCNS,,Main,2MH,6823 FIFTH AVENUE,3RD FL,Brooklyn,11220,310,43,978477,170243,40.633953,-74.020799,3145313,3058650001,130,BK1001
2023,Older Adult Center,Bay Ridge Ctr for Health and Wellness,Bay Ridge Center Inc,,Main Site,W1202,411 Ovington Ave,,Brooklyn,11209,310,43,977777,170070,40.633477,-74.023321,3145772,3058730089,130,BK1001
2023,Older Adult Center,Bay Ridge Ctr for Life Long Learning,Bay Ridge Center Inc,,Main Site,W1201,411 Ovington Ave,,Brooklyn,11209,310,43,977777,170070,40.633477,-74.023321,3145772,3058730089,130,BK1001
2023,Older Adult Center,Shore Hill Older Adult Center,Sunset Park Health Council Inc,,Main Site,C8001,9000 Shore Road,,Brooklyn,11209,310,43,973098,165933,40.622118,-74.040172,3322532,3060780010,5201,BK1001
2023,Older Adult Center,Bensonhurst Senior Center,Edith And Carl Marks Jewish Community House Of Bensonhurst,,Main Site,C3201,7802 Bay Parkway,,Brooklyn,11214,311,44,987239,160193,40.606369,-73.989235,3162352,3062640030,270,BK1101
2023,Older Adult Center,CCNS The Lodge OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1717,7711 18th Avenue,,Brooklyn,11214,311,47,985003,162276,40.612087,-73.997288,3161485,3062490006,274,BK1101
2023,Older Adult Center,Homecrest Bensonhurtst OAC & Ave T Brooklyn,Homecrest Community Services Inc,,Main Site,C4201,7907 New Utrecht Ave,,Brooklyn,11214,311,43,983991,162346,40.612279,-74.000933,3162717,3062720007,276,BK1101
2023,Older Adult Center,Sephardic MSSCC House of Jacob Senior Center,Sephardic Multi-Services Senior Citizen Center Inc,,Main Site,C6802,6222 23rd Avenue,,Brooklyn,11204,311,44,990470,162992,40.61405,-73.977597,3172161,3065510045,436,BK1101
2023,Older Adult Center,CCNS Narrows OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1714,930 53rd Street,,Brooklyn,11219,312,38,983647,171514,40.637443,-74.002173,3343065,3056660012,116,BK1201
2023,Older Adult Center,CPC Brooklyn Senior Center,Chinese-American Planning Council Inc,,Main Site,C2101,4101 8th Avenue,,Brooklyn,11232,312,38,984654,174657,40.64607,-73.998544,3018218,3009230009,9202,BK1201
2023,Older Adult Center,Agudath Israel of America Boro Park Senior Citizens Center,Agudath Israel Of America Community Services Inc,,Main Site,C0103,5602 11th Avenue,,Brooklyn,11219,312,44,984055,170143,40.63368,-74.000703,3139989,3056880036,216,BK1202
2023,Older Adult Center,AMICO 59th St Senior Citizen Ctr,American Italian Coalition Of Organizations Inc,Yes,Main Site,C0401,5901 13th Avenue,,Brooklyn,11219,312,44,984799,168559,40.629332,-73.998022,3141065,3057120001,192,BK1202
2023,Older Adult Center,Boro Park Y OAC,Young Mens and Young Womens Hebrew Association of Boro Park,,Main Site,C9601,4912 14th Avenue,,Brooklyn,11219,312,44,987009,170103,40.63357,-73.99006,3328617,3056420042,236,BK1202
2023,Older Adult Center,Council of Peoples Organization: Satellite,"Council of Peoples Organization, Inc",,Main Site,C2702,1814 Coney Island Avenue,,Brooklyn,11230,312,44,994516,162745,40.613368,-73.963024,3174033,3065920041,442,BK1204
2023,Older Adult Center,JCCGCI Marlboro Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,,Main Site,C4706,2298 West 8th Street,,Brooklyn,11223,313,47,990230,154988,40.592081,-73.978468,3322179,3071400016,382,BK1301
2023,Naturally Occurring Retirement Community (NORC),JASA CONEY ISLAND ACTIVE AGING NORC,Jewish Association for Services for the Aged,,Main Site,N68-03,2950 WEST 35TH STREET,,Brooklyn,11224,313,47,984113,148341,40.573838,-74.000493,3189511,3070460022,342,BK1302
2023,Naturally Occurring Retirement Community (NORC),JASA TRUMPS UNITED NORC,Jewish Association for Services for the Aged,,Main Site,N68-05,458 NEPTUNE AVENUE,,Brooklyn,11224,313,48,992343,150508,40.579782,-73.970866,3196580,3072740001,35602,BK1302
2023,Naturally Occurring Retirement Community (NORC),JASA WARBASSE CARES NORC,Jewish Association for Services for the Aged,,Main Site,N68-04,2844 OCEAN PARKWAY,,Brooklyn,11235,313,47,993020,150785,40.580542,-73.968428,3320735,3072530001,35601,BK1302
2023,Older Adult Center,JASA Luna Park Annex,The Jewish Association For Services For The Aged,Yes,Affiliated,C8307,2880 West 12th Street,,Brooklyn,11224,313,47,989910,149620,40.577347,-73.979625,3196559,3072660060,350,BK1302
2023,Older Adult Center,JASA Scheuer Coney Island OAC,The Jewish Association For Services For The Aged,Yes,Main Site,C8306,3601 Surf Avenue,,Brooklyn,11224,313,47,983809,148088,40.573144,-74.001587,3321762,3070450031,342,BK1302
