"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"4192","Vida aka 43-15 52nd Street Apartments","Rental","New Construction","23","1004233","6410","43-15","52nd St","QN",,"13","10",,,,"9","9","3","2",,"11377","40.743792","-73.912547","402","26","4000000","4013210016","25302","QN0202"
"3123","Astoria West Phase 2","Rental","New Construction","80","416381","4645","11-12","30 DRIVE","QN","8","61","11",,,,,,,"80",,"11102","40.770235","-73.934066","401","22","4623158","4005040122","81","QN0102"
"7474","Las Raices Apartments","Rental","New Construction","5","18898","7946","303","EAST 102 STREET","MN","3",,"2",,,,"4","1",,,,"10029","40.788016","-73.944199","111","08","1091726","1016740104","164","MN1101"
"7300","MBD New Heights Apartments","Rental","New Construction","24","115154","7742","1105","TINTON AVENUE","BX",,"17","7",,,"1","6","17",,,,"10456","40.826737","-73.901457","203","17","2004707","2026610052","135","BX0301"
"7555","217 Bedford Park Boulevard Apartments","Rental","New Construction","6","0","8038","217","Bedford Park Blvd","BX","6",,,,,,,"6",,,,"10458","40.871674","-73.887304","207","14","2017212","2033060052","413","BX0702"
"4273","352 Meeker Avenue Apartments","Rental","New Construction","9","1010119","6467","352","Meeker Ave","BK",,"9",,,,,,,,"9",,"11211","40.717639","-73.947895","301","34","3429036","3027380010","501","BK0104"
"1885","1225 42nd Street","Rental","New Construction","2","999265","3417","1225","42 STREET","BK",,,"2",,,,,,,"2",,"11219","40.639855","-73.989529","312","39","3135707","3055930060","224","BK1202"
"7527","786 Fairmount Place","Rental","Preservation","2","77573","8004","786","FAIRMOUNT PLACE","BX",,"1","1",,,,,"2",,,,"10460","40.842763","-73.889182","206","15","2010022","2029540020","36502","BX0602"
"3338","43-17 & 43-19 108 Street Apartments","Rental","New Construction","3","0","5791","43-19","108th St","QN",,"3",,,,,,,,"3",,"11368","40.748521","-73.857615","404","21","4000000","4019990065","40101","QN0402"
"4505","The MiMa - Waiting List","Rental","New Construction","161","934933","6534","450","WEST 42 STREET","MN","86","52","23",,,,"140","21",,,,"10036","40.759184","-73.994448","104","03","1088437","1010517502","115","MN0402"
