lottery_id,lottery_name,lottery_status,address,borough,postcode,deadline,unit_type,ami_tier,income_range_min,income_range_max,date_applied,application_status,documents_submitted,eligibility_interview_date,notes
7492,West Harlem Renaissance,Active,103-109 W 141st St,Manhattan,10030,2026-05-28,1BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7492,West Harlem Renaissance,Active,121-123 W 144th St,Manhattan,10030,2026-05-28,Studio/1BR,VLI/LI,35641,122160,,Not Applied,,,
7551,477 Central Avenue Apartments,Tenant Selection,477 CENTRAL AVENUE,Brooklyn,11221,2026-06-02,1BR/2BR,LI,76351,122160,,Not Applied,,,
7469,Aria Platt 7,Tenant Selection,7-13 Platt St,Manhattan,10038,2026-06-08,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7537,Two Waterline Square at 400 West 61st Street - Waiting List,Tenant Selection,400 WEST 31 STREET,Manhattan,10001,2026-06-09,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7540,One Waterline Square - Waiting List,Tenant Selection,675 WEST   59 STREET,Manhattan,10019,2026-06-11,Studio/1BR/2BR/3BR,LI,76351,122160,,Not Applied,,,
7474,Las Raices Apartments,Tenant Selection,338 E 117th St,Manhattan,10035,2026-06-16,Studio/1BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7474,Las Raices Apartments,Tenant Selection,1761 Park Ave,Manhattan,10035,2026-06-16,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7474,Las Raices Apartments,Tenant Selection,505 E 118th St,Manhattan,10035,2026-06-16,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7474,Las Raices Apartments,Tenant Selection,303 EAST 102 STREET,Manhattan,10029,2026-06-16,Studio/2BR,VLI/LI,35641,122160,,Not Applied,,,
7563,Three Waterline Square aka 635 West 59th Street - Waiting List,Active,635 WEST   59 STREET,Manhattan,10019,2026-06-23,1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7523,WILLOW TREE RESIDENCES,Active,225 E 45th St,Manhattan,10017,2026-07-03,Studio,LI,76351,122160,,Not Applied,,,
7589,534 Third Avenue Apartments,Active,534 3rd Ave,Manhattan,10016,2026-07-07,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7584,343 Himrod Street Apartments,Active,343 Himrod St,Brooklyn,11237,2026-07-20,2BR,VLI/LI,35641,122160,,Not Applied,,,
7548,RIALTO WEST,Active,509 W 48th St,Manhattan,10036,2026-07-20,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7522,223 East 117th Street aka PETER JAY SHARP RESIDENCE,Active,223 EAST  117 STREET,Manhattan,10035,2026-07-23,Studio,LI,76351,122160,,Not Applied,,,
